BAG:brohulk add 1xGăng jean Calic lydo: Lấy từ body đệ vào hành trang at 03/05/2023 12:21 PM
BAG:brohulk add 23xĐá Vĩnh Hằng (old: 22) lydo: Mua santa at 03/05/2023 12:25 PM
BAG:brohulk add 23xĐá Hắc Hóa (old: 22) lydo: Mua santa at 03/05/2023 12:25 PM
BAG:brohulk add 24xĐá Vĩnh Hằng (old: 23) lydo: Mua santa at 03/05/2023 12:25 PM
BAG:brohulk add 24xĐá Hắc Hóa (old: 23) lydo: Mua santa at 03/05/2023 12:25 PM
BAG:brohulk add 25xĐá Vĩnh Hằng (old: 24) lydo: Mua santa at 03/05/2023 12:25 PM
BAG:brohulk add 25xĐá Hắc Hóa (old: 24) lydo: Mua santa at 03/05/2023 12:25 PM
BAG:brohulk add 26xĐá Vĩnh Hằng (old: 25) lydo: Mua santa at 03/05/2023 12:25 PM
BAG:brohulk add 26xĐá Hắc Hóa (old: 25) lydo: Mua santa at 03/05/2023 12:25 PM
BAG:brohulk add 27xĐá Vĩnh Hằng (old: 26) lydo: Mua santa at 03/05/2023 12:25 PM
BAG:brohulk add 27xĐá Hắc Hóa (old: 26) lydo: Mua santa at 03/05/2023 12:25 PM
BAG:brohulk add 28xĐá Vĩnh Hằng (old: 27) lydo: Mua santa at 03/05/2023 12:25 PM
BAG:brohulk add 28xĐá Hắc Hóa (old: 27) lydo: Mua santa at 03/05/2023 12:25 PM
BAG:brohulk add 29xĐá Vĩnh Hằng (old: 28) lydo: Mua santa at 03/05/2023 12:25 PM
BAG:brohulk add 29xĐá Hắc Hóa (old: 28) lydo: Mua santa at 03/05/2023 12:25 PM
BAG:brohulk add 30xĐá Vĩnh Hằng (old: 29) lydo: Mua santa at 03/05/2023 12:25 PM
BAG:brohulk add 30xĐá Hắc Hóa (old: 29) lydo: Mua santa at 03/05/2023 12:25 PM
BAG:brohulk add 31xĐá Vĩnh Hằng (old: 30) lydo: Mua santa at 03/05/2023 12:25 PM
BAG:brohulk add 31xĐá Hắc Hóa (old: 30) lydo: Mua santa at 03/05/2023 12:25 PM
BAG:brohulk add 32xĐá Vĩnh Hằng (old: 31) lydo: Mua santa at 03/05/2023 12:25 PM
BAG:brohulk add 32xĐá Hắc Hóa (old: 31) lydo: Mua santa at 03/05/2023 12:25 PM
BAG:brohulk add 29xBột mì (old: 28) lydo: Nhặt từ map at 03/05/2023 12:26 PM
BAG:brohulk add 22xĐậu xanh (old: 21) lydo: Nhặt từ map at 03/05/2023 12:26 PM
